90
218,184,216,195
297,191,295,206
307,176,303,199
130
260,195,260,195
260,195,262,136
263,92,263,78
263,78,265,49
263,92,229,102
229,102,215,142
215,142,219,184
219,184,225,194
263,92,294,102
294,102,310,141
310,141,304,175
304,175,294,186
260,195,245,195
245,195,237,262
237,262,234,325
234,325,230,348
260,195,275,196
275,196,278,261
278,261,282,325
282,325,282,346
262,136,263,92
225,194,229,212
219,184,219,196
294,186,288,200
304,175,299,198
131
260,195,260,195
260,195,262,135
263,92,264,78
264,78,265,49
263,92,229,102
229,102,215,142
215,142,219,176
219,176,226,187
263,92,294,102
294,102,309,141
309,141,304,173
304,173,293,185
260,195,245,195
245,195,237,262
237,262,234,325
234,325,231,347
260,195,275,195
275,195,278,260
278,260,282,325
282,325,282,346
262,135,263,92
226,187,229,203
219,176,218,193
293,185,288,199
304,173,298,199
132
260,195,260,195
260,195,262,135
263,92,264,78
264,78,265,48
263,92,230,102
230,102,215,142
215,142,219,175
219,175,225,187
263,92,294,102
294,102,309,141
309,141,304,173
304,173,294,186
260,195,245,195
245,195,237,262
237,262,234,325
234,325,230,348
260,195,275,195
275,195,278,260
278,260,282,325
282,325,282,346
262,135,263,92
225,187,229,203
219,175,217,193
294,186,288,199
304,173,300,198
133
260,195,260,195
260,195,262,135
263,92,264,78
264,78,265,48
263,92,230,102
230,102,215,142
215,142,218,174
218,174,226,188
263,92,294,102
294,102,310,141
310,141,305,175
305,175,294,190
260,195,245,195
245,195,237,262
237,262,234,326
234,326,230,348
260,195,275,195
275,195,278,260
278,260,282,325
282,325,282,346
262,135,263,92
226,188,231,205
218,174,218,199
294,190,289,207
305,175,301,200
134
260,195,260,195
260,195,262,135
263,92,264,78
264,78,265,48
263,92,230,102
230,102,215,141
215,141,220,182
220,182,224,192
263,92,294,103
294,103,312,141
312,141,305,176
305,176,295,188
260,195,245,195
245,195,237,262
237,262,234,326
234,326,230,348
260,195,275,195
275,195,278,260
278,260,282,325
282,325,282,346
262,135,263,92
224,192,229,209
220,182,215,198
295,188,297,204
305,176,306,191
135
260,195,260,195
260,195,262,135
263,92,264,78
264,78,265,48
263,92,230,102
230,102,214,140
214,140,222,182
222,182,225,189
263,92,295,103
295,103,313,140
313,140,304,175
304,175,295,189
260,195,245,195
245,195,237,262
237,262,234,325
234,325,230,348
260,195,275,195
275,195,278,261
278,261,282,325
282,325,282,346
262,135,263,92
225,189,224,201
222,182,215,195
295,189,298,203
304,175,295,203
136
260,195,260,195
260,195,262,135
263,92,264,78
264,78,265,48
263,92,230,102
230,102,213,140
213,140,225,173
225,173,232,185
263,92,295,103
295,103,313,140
313,140,302,172
302,172,294,184
